,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q1/2015,1.87,1.87,1.91,2.09,1.67,-0.042,1.37,1.37,1.36,1.37,1.28,-0.026
Q4/2014,1.91,1.91,2.09,1.67,1.74,-0.093,1.36,1.36,1.37,1.28,0.88,-0.153
Q3/2014,2.09,2.09,1.67,1.74,1.5,-0.17,1.37,1.37,1.28,0.88,0.95,-0.166
Q1/2014,1.74,1.74,1.5,1.94,1.65,0.017,0.88,0.88,0.95,0.39,0.27,-0.239
Q4/2013,1.5,1.5,1.94,1.65,2.06,0.139,0.95,0.95,0.39,0.27,0.4,-0.177
Q2/2013,1.65,1.65,2.06,1.48,1.49,-0.106,0.27,0.27,0.4,0.23,0.72,0.118
Q1/2013,2.06,2.06,1.48,1.49,1.24,-0.245,0.4,0.4,0.23,0.72,0.6,0.109
Q4/2012,1.48,1.48,1.49,1.24,1.48,-0.025,0.23,0.23,0.72,0.6,0.59,0.096
Q3/2012,1.49,1.49,1.24,1.48,1.35,-0.018,0.72,0.72,0.6,0.59,0.62,-0.031
Q2/2012,1.24,1.24,1.48,1.35,1.24,-0.013,0.6,0.6,0.59,0.62,0.64,0.015
Q1/2012,1.48,1.48,1.35,1.24,1.75,0.07,0.59,0.59,0.62,0.64,0.65,0.02
