,train,
B,1,Q4/2016
H,2,Q3/2016
S,2,Q1/2016
B,1,Q4/2015
S,2,Q3/2015
H,0,Q2/2015
B,1,Q1/2015
B,1,Q4/2014
B,1,Q3/2014
H,0,Q2/2014
B,1,Q1/2014
B,1,Q4/2013
B,1,Q3/2013
B,1,Q2/2013
B,1,Q1/2013
B,1,Q4/2012
B,1,Q3/2012
B,1,Q2/2012
