,train,
b,1,irpc
h,0,
h,0,
s,2,
b,1,
b,1,
s,2,
h,0,
b,1,
s,2,
h,0,
h,0,
h,0,
h,0,
s,2,
h,0,
h,0,
b,1,
s,2,
B,1,ivl
H,0,
B,1,
S,2,
S,2,
B,1,
B,1,
S,2,
B,1,
B,1,
S,2,
B,1,
S,2,
S,2,
S,2,
H,0,
S,2,
B,1,pttgc
B,1,
H,0,
H,0,
B,1,
S,2,
S,2,
B,1,
H,0,
S,2,
S,2,
S,2,
B,1,
H,0,
H,0,
B,1,
