,train,
H,0,cpn
H,0,
H,0,
B,1,
B,1,
B,1,
S,2,
B,1,
H,0,
S,2,
H,0,
B,1,
S,2,
H,0,
S,2,
B,1,
B,1,
H,0,
H,0,lh
H,0,
H,0,
S,2,
B,1,
S,2,
S,2,
H,0,
B,1,
S,2,
S,2,
B,1,
B,1,
B,1,
B,1,
