,train,
S,2,bdms
B,1,
S,2,
H,0,
B,1,
S,2,
H,0,
B,1,
B,1,
S,2,
B,1,
S,2,
S,2,
H,0,
 B ,1,
 B ,1,
 B ,1,
 B ,1,
H,0,bh
H,0,
H,0,
H,0,
H,0,
B,1,
B,1,
B,1,
B,1,
B,1,
B,1,
B,1,
B,1,
S,2,
B,1,
S,2,
B,1,
B,1,
